category,normalized_entity,term_frequency,category_document_frequency,idf,importance_score
impact,36 million,1,1,1.916290731874155,1.916290731874155
impact,37%,1,1,1.916290731874155,1.916290731874155
impact,4.2 million,1,1,1.916290731874155,1.916290731874155
impact,40 days,1,1,1.916290731874155,1.916290731874155
impact,40 degrees,1,1,1.916290731874155,1.916290731874155
impact,"40,000",1,1,1.916290731874155,1.916290731874155
impact,"400,000",1,1,1.916290731874155,1.916290731874155
impact,41%,1,1,1.916290731874155,1.916290731874155
impact,Caribbean,1,1,1.916290731874155,1.916290731874155
impact,Category 5,1,1,1.916290731874155,1.916290731874155
impact,Chad,1,1,1.916290731874155,1.916290731874155
impact,Derna,1,1,1.916290731874155,1.916290731874155
impact,East Africa,1,1,1.916290731874155,1.916290731874155
impact,Ethiopia,1,1,1.916290731874155,1.916290731874155
impact,European,1,1,1.916290731874155,1.916290731874155
impact,Five,1,1,1.916290731874155,1.916290731874155
impact,50,1,1,1.916290731874155,1.916290731874155
impact,500 cubic meters,1,1,1.916290731874155,1.916290731874155
impact,68%,1,1,1.916290731874155,1.916290731874155
impact,"7,000",1,1,1.916290731874155,1.916290731874155
impact,70-90%,1,1,1.916290731874155,1.916290731874155
impact,73,1,1,1.916290731874155,1.916290731874155
impact,75 micrograms per cubic meter,1,1,1.916290731874155,1.916290731874155
science,The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services,1,1,1.916290731874155,1.916290731874155
science,The United Nations Environment Programme,1,1,1.916290731874155,1.916290731874155
science,The World Glacier Monitoring Service,1,1,1.916290731874155,1.916290731874155
impact,Flash,1,1,1.916290731874155,1.916290731874155
impact,Friends of the Earth Middle East,1,1,1.916290731874155,1.916290731874155
impact,GLOF,1,1,1.916290731874155,1.916290731874155
impact,Global Risks Report,1,1,1.916290731874155,1.916290731874155
impact,Himalayas,1,1,1.916290731874155,1.916290731874155
impact,Hindu Kush,1,1,1.916290731874155,1.916290731874155
impact,Hurricane Otis,1,1,1.916290731874155,1.916290731874155
impact,Karakoram,1,1,1.916290731874155,1.916290731874155
impact,Australia,1,1,1.916290731874155,1.916290731874155
